cluster_idx,n_doc,n_sent,n_word_summary,n_sent_summary,avg_word_per_sent_summary
107.0,4.0,34.0,150.0,5.0,30.0
108.0,3.0,60.0,158.0,5.0,31.6
109.0,3.0,24.0,116.0,3.0,38.666666666666664
110.0,3.0,38.0,159.0,5.0,31.8
111.0,3.0,15.0,137.0,6.0,22.833333333333332
112.0,4.0,57.0,215.0,4.0,53.75
113.0,3.0,18.0,164.0,5.0,32.8
114.0,4.0,22.0,119.0,4.0,29.75
115.0,3.0,27.0,150.0,5.0,30.0
116.0,3.0,74.0,127.0,4.0,31.75
117.0,3.0,17.0,61.0,2.0,30.5
118.0,4.0,25.0,111.0,5.0,22.2
119.0,3.0,37.0,199.0,4.0,49.75
120.0,2.0,64.0,226.0,5.0,45.2
121.0,3.0,48.0,170.0,6.0,28.333333333333332
122.0,3.0,34.0,253.0,5.0,50.6
123.0,3.0,31.0,158.0,6.0,26.333333333333332
124.0,2.0,11.0,136.0,6.0,22.666666666666668
125.0,2.0,14.0,75.0,1.0,75.0
126.0,4.0,36.0,191.0,5.0,38.2
127.0,4.0,43.0,196.0,5.0,39.2
128.0,3.0,38.0,170.0,5.0,34.0
129.0,4.0,52.0,157.0,5.0,31.4
130.0,3.0,19.0,176.0,6.0,29.333333333333332
131.0,4.0,51.0,104.0,5.0,20.8
132.0,2.0,5.0,59.0,2.0,29.5
133.0,3.0,25.0,208.0,4.0,52.0
134.0,2.0,19.0,134.0,4.0,33.5
135.0,3.0,32.0,164.0,5.0,32.8
136.0,2.0,30.0,274.0,6.0,45.666666666666664
137.0,2.0,19.0,157.0,6.0,26.166666666666668
138.0,3.0,68.0,178.0,6.0,29.666666666666668
139.0,2.0,12.0,95.0,4.0,23.75
140.0,4.0,26.0,179.0,4.0,44.75
141.0,4.0,42.0,168.0,6.0,28.0
142.0,2.0,19.0,205.0,6.0,34.166666666666664
143.0,3.0,18.0,177.0,4.0,44.25
144.0,2.0,19.0,139.0,5.0,27.8
145.0,2.0,30.0,183.0,6.0,30.5
146.0,4.0,27.0,176.0,7.0,25.142857142857142
147.0,3.0,49.0,177.0,6.0,29.5
148.0,3.0,43.0,225.0,6.0,37.5
149.0,4.0,29.0,172.0,6.0,28.666666666666668
150.0,3.0,26.0,167.0,6.0,27.833333333333332
151.0,5.0,41.0,197.0,6.0,32.833333333333336
152.0,3.0,14.0,182.0,5.0,36.4
153.0,5.0,55.0,190.0,6.0,31.666666666666668
154.0,4.0,21.0,123.0,6.0,20.5
155.0,5.0,36.0,197.0,6.0,32.833333333333336
156.0,3.0,31.0,155.0,5.0,31.0
157.0,3.0,50.0,155.0,6.0,25.833333333333332
158.0,4.0,63.0,188.0,6.0,31.333333333333332
159.0,2.0,47.0,175.0,5.0,35.0
160.0,3.0,38.0,194.0,5.0,38.8
161.0,4.0,46.0,185.0,6.0,30.833333333333332
162.0,3.0,47.0,183.0,6.0,30.5
163.0,4.0,74.0,170.0,6.0,28.333333333333332
164.0,3.0,33.0,146.0,6.0,24.333333333333332
165.0,4.0,54.0,180.0,6.0,30.0
166.0,3.0,40.0,182.0,5.0,36.4
167.0,3.0,40.0,222.0,6.0,37.0
168.0,2.0,37.0,183.0,6.0,30.5
169.0,3.0,33.0,129.0,6.0,21.5
170.0,4.0,56.0,236.0,6.0,39.333333333333336
171.0,2.0,14.0,116.0,6.0,19.333333333333332
172.0,4.0,23.0,57.0,2.0,28.5
173.0,3.0,24.0,148.0,6.0,24.666666666666668
174.0,3.0,33.0,246.0,6.0,41.0
175.0,5.0,99.0,343.0,6.0,57.166666666666664
176.0,3.0,98.0,177.0,6.0,29.5
177.0,2.0,15.0,175.0,6.0,29.166666666666668
178.0,3.0,39.0,108.0,5.0,21.6
179.0,3.0,33.0,165.0,6.0,27.5
180.0,5.0,61.0,165.0,6.0,27.5
181.0,3.0,86.0,127.0,6.0,21.166666666666668
182.0,3.0,47.0,255.0,6.0,42.5
183.0,2.0,20.0,167.0,6.0,27.833333333333332
184.0,3.0,29.0,181.0,6.0,30.166666666666668
185.0,2.0,22.0,171.0,6.0,28.5
186.0,4.0,56.0,188.0,5.0,37.6
187.0,3.0,88.0,227.0,6.0,37.833333333333336
188.0,3.0,21.0,151.0,5.0,30.2
189.0,3.0,42.0,183.0,6.0,30.5
190.0,3.0,44.0,206.0,6.0,34.333333333333336
191.0,4.0,99.0,90.0,5.0,18.0
192.0,2.0,48.0,103.0,4.0,25.75
193.0,2.0,12.0,121.0,5.0,24.2
194.0,3.0,29.0,124.0,4.0,31.0
195.0,5.0,29.0,141.0,4.0,35.25
196.0,2.0,8.0,95.0,3.0,31.666666666666668
197.0,2.0,57.0,176.0,5.0,35.2
198.0,3.0,42.0,151.0,4.0,37.75
199.0,2.0,31.0,160.0,6.0,26.666666666666668
200.0,4.0,68.0,158.0,6.0,26.333333333333332
